training_dataset,test_dataset,sparse_mask_percentage,trial,absolute_iou
hela2,hela2,50,0,0.49296581663617944
hela2,hela2,50,1,0.7259335124235435
hela2,hela2,50,2,0.45850109894169067
hela2,hela2,50,3,0.7281839280919409
hela2,hela2,50,4,0.42912765768730665
hela2,hela2,50,5,0.5754440772426571
hela2,hela2,50,6,0.5840109516291849
hela2,hela2,50,7,0.6488636837175242
hela2,hela2,50,8,0.6021363208285129
hela2,hela2,50,9,0.7107583742650824
hela2,hela2,70,0,0.6499717337646861
hela2,hela2,70,1,0.5117999758848601
hela2,hela2,70,2,0.6628198759592132
hela2,hela2,70,3,0.5396401610973518
hela2,hela2,70,4,0.6238508926529646
hela2,hela2,70,5,0.6984740250715717
hela2,hela2,70,6,0.6846343806063261
hela2,hela2,70,7,0.5542584551832669
hela2,hela2,70,8,0.08609212838881844
hela2,hela2,70,9,0.4086356821873802
hela2,hela2,95,0,0.5032924177980155
hela2,hela2,95,1,0.4805335922561601
hela2,hela2,95,2,0.5375165886309015
hela2,hela2,95,3,0.36046287332309357
hela2,hela2,95,4,0.5133300250686594
hela2,hela2,95,5,0.5022141876603217
hela2,hela2,95,6,0.5023059341860253
hela2,hela2,95,7,0.24344596709028152
hela2,hela2,95,8,0.5356202010783792
hela2,hela2,95,9,0.42091252059873263
hela2,jurkat,50,0,0.057021357942252195
hela2,jurkat,50,1,0.4503922656947523
hela2,jurkat,50,2,0.06452663981330192
hela2,jurkat,50,3,0.44329599379346213
hela2,jurkat,50,4,0.04437511070131855
hela2,jurkat,50,5,0.3848833752007247
hela2,jurkat,50,6,0.4865117466849187
hela2,jurkat,50,7,0.4855904301803374
hela2,jurkat,50,8,0.3142508159777293
hela2,jurkat,50,9,0.20436982869896334
hela2,jurkat,70,0,0.4793290207867858
hela2,jurkat,70,1,0.22478374653268657
hela2,jurkat,70,2,0.4969638804843086
hela2,jurkat,70,3,0.3053293169863171
hela2,jurkat,70,4,0.02876285915272962
hela2,jurkat,70,5,0.4793900880161508
hela2,jurkat,70,6,0.41327046370111115
hela2,jurkat,70,7,0.43582747545953804
hela2,jurkat,70,8,0.08793789292116953
hela2,jurkat,70,9,0.2733876761584137
hela2,jurkat,95,0,0.22935882958132686
hela2,jurkat,95,1,0.13410282733692114
hela2,jurkat,95,2,0.25564293821121287
hela2,jurkat,95,3,0.18824411229888943
hela2,jurkat,95,4,0.339228559394972
hela2,jurkat,95,5,0.3446324622456396
hela2,jurkat,95,6,0.21470535739336016
hela2,jurkat,95,7,0.04718134185107403
hela2,jurkat,95,8,0.3377906163927598
hela2,jurkat,95,9,0.3786696751536319
hela2,macrophage,50,0,0.02529361148370068
hela2,macrophage,50,1,0.06596572504282226
hela2,macrophage,50,2,0.015479538653472168
hela2,macrophage,50,3,0.061843736686148336
hela2,macrophage,50,4,0.007938738866673917
hela2,macrophage,50,5,0.03677152066419293
hela2,macrophage,50,6,0.04157140812324168
hela2,macrophage,50,7,0.11686549572036563
hela2,macrophage,50,8,0.011320751413561918
hela2,macrophage,50,9,0.02473060169148763
hela2,macrophage,70,0,0.03360136400049679
hela2,macrophage,70,1,0.015679591474265772
hela2,macrophage,70,2,0.010772801872758638
hela2,macrophage,70,3,0.009566108262587032
hela2,macrophage,70,4,0.0003051945136678856
hela2,macrophage,70,5,0.019597742848158694
hela2,macrophage,70,6,0.016562458454689784
hela2,macrophage,70,7,0.09801829644712153
hela2,macrophage,70,8,0.003362939854639299
hela2,macrophage,70,9,0.0443769296362105
hela2,macrophage,95,0,0.04220449284964186
hela2,macrophage,95,1,0.002808532004846012
hela2,macrophage,95,2,0.04805935701391659
