dataset,model,sparse_mask_percentage,trial,iou,false_positive_rate
hela2,SparseSeg,50,0,0.49444124869334927,0.010097154494055061
hela2,SparseSeg,50,1,0.7257944541774302,0.0018656754916477794
hela2,SparseSeg,50,2,0.45995341853540356,0.01168283196498675
hela2,SparseSeg,50,3,0.7280487336873886,0.002003375329540623
hela2,SparseSeg,50,4,0.4313080516669835,0.014981496947841122
hela2,SparseSeg,50,5,0.5771506626146428,0.0074321864494952565
hela2,SparseSeg,50,6,0.5832122457548663,0.002493406894737159
hela2,SparseSeg,50,7,0.6500001477581997,0.004749504374418695
hela2,SparseSeg,50,8,0.6012878614131261,0.0012706165393796952
hela2,SparseSeg,50,9,0.7111963425217762,0.002612611450527655
hela2,SparseSeg,70,0,0.6503417827208922,0.0034577813044304666
hela2,SparseSeg,70,1,0.5124731011240536,0.00768069663456603
hela2,SparseSeg,70,2,0.6633325402620799,0.0036138787679774586
hela2,SparseSeg,70,3,0.5396102838570427,0.004190680210364897
hela2,SparseSeg,70,4,0.6245246736306634,0.004391096717664024
hela2,SparseSeg,70,5,0.6990217650438293,0.002367349403842625
hela2,SparseSeg,70,6,0.6856857159953642,0.003739694240717761
hela2,SparseSeg,70,7,0.5548487233440889,0.005606036343772811
hela2,SparseSeg,70,8,0.037809594540283466,0.3502960489194607
hela2,SparseSeg,70,9,0.4094681651368995,0.012784524078645167
hela2,SparseSeg,95,0,0.5025085836909858,0.0019001482178619571
hela2,SparseSeg,95,1,0.4795159591477202,0.001433974547553642
hela2,SparseSeg,95,2,0.537164757003384,0.0027549138792834337
hela2,SparseSeg,95,3,0.36086140775815845,0.01162771126887732
hela2,SparseSeg,95,4,0.5125384863061865,0.001921997786663307
hela2,SparseSeg,95,5,0.5016527869769949,0.0026551896619423335
hela2,SparseSeg,95,6,0.5011367214162092,0.0008516746225393579
hela2,SparseSeg,95,7,0.24352036974565208,0.015737035166027553
hela2,SparseSeg,95,8,0.5347565439918563,0.0014568346482972227
hela2,SparseSeg,95,9,0.42036820115409396,0.0053331629978427015
